Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Matteo Meucci, Italy, None, 19, RM, Genoa CFC, None, Summer, 2013, -
Alejandro González, Uruguay, Spain, 25, RB, Peñarol, Hellas Verona, Summer, 2013, 2.40 Mill. €
Matteo Bianchetti, Italy, None, 20, CB, Inter, Hellas Verona, Summer, 2013, 1.60 Mill. €
Raphael Martinho, Brazil, Italy, 25, LM, Catania, Hellas Verona, Summer, 2013, 900 Th. €
Michelangelo Albertazzi, Italy, None, 22, LB, AC Milan, Hellas Verona, Summer, 2013, 500 Th. €
Nikolay Mihaylov, Bulgaria, None, 25, GK, FC Twente, Hellas Verona, Summer, 2013, 500 Th. €
Fabrizio Cacciatore, Italy, None, 26, RB, Sampdoria, Hellas Verona, Summer, 2013, 500 Th. €
Alessandro Agostini, Italy, None, 33, LB, Torino, Hellas Verona, Summer, 2013, 300 Th. €
Jacopo Sala, Italy, None, 21, RB, Hamburger SV, Hellas Verona, Summer, 2013, 100 Th. €
Luca Toni, Italy, None, 36, CF, Fiorentina, Hellas Verona, Summer, 2013, Free transfer
Rafael Marques, Brazil, None, 29, CB, Atlético-MG, Hellas Verona, Summer, 2013, Free transfer
Godfred Donsah, Ghana, None, 17, CM, Palermo Youth, Hellas Verona, Summer, 2013, ?
Filippo De Col, Italy, None, 19, RB, Virtus Entella, Hellas Verona, Summer, 2013, ?
Simon Laner, Italy, None, 29, CM, UC AlbinoLeffe, Hellas Verona, Summer, 2013, ?
Massimo Donati, Italy, None, 32, DM, US Palermo, Hellas Verona, Summer, 2013, ?
David Speziale, Italy, None, 19, CF, Milan U19, Hellas Verona, Summer, 2013, ?
Francesco Zampano, Italy, None, 19, RB, Virtus Entella, Hellas Verona, Summer, 2013, ?
Harallamb Qaqi, Albania, None, 19, CB, Varese U19, Hellas Verona, Summer, 2013, ?
Francesco Cangi, Italy, None, 30, RB, Hellas Verona, Castel Rigone, Summer, 2013, gratuito
Luca Ceccarelli, Italy, None, 30, CB, Hellas Verona, Spezia Calcio, Summer, 2013, ?
Enrico Fornasa, Italy, None, 19, GK, Hellas Verona, None, Summer, 2013, ?
Matteo Abbate, Italy, None, 29, CB, Hellas Verona, Cremonese, Summer, 2013, ?
Luca Viviani, Italy, None, 22, SS, Hellas Verona, Legnago, Summer, 2013, ?
Giuseppe Russo, Italy, None, 30, CM, Hellas Verona, Lumezzane, Summer, 2013, ?
Ernesto Torregrossa, Italy, None, 21, CF, Hellas Verona, Lumezzane, Summer, 2013, ?
Emanuel Rivas, Argentina, Italy, 30, RW, Hellas Verona, Spezia Calcio, Summer, 2013, ?
Giuseppe Pugliese, Italy, None, 29, LB, Hellas Verona, None, Summer, 2013, -
Manuel Mancini, Italy, None, 30, CM, Hellas Verona, None, Summer, 2013, -
Lucas Biglia, Argentina, Italy, 27, DM, RSC Anderlecht, SS Lazio, Summer, 2013, 8.40 Mill. €
Antonio Candreva, Italy, None, 26, RW, Udinese Calcio, SS Lazio, Summer, 2013, 8.20 Mill. €
Felipe Anderson, Brazil, None, 20, RM, Santos FC, SS Lazio, Summer, 2013, 7.50 Mill. €
Brayan Perea, Colombia, None, 20, CF, Deportivo Cali, SS Lazio, Summer, 2013, 2.30 Mill. €
Etrit Berisha, Albania, Sweden, 24, GK, Kalmar, SS Lazio, Summer, 2013, 400 Th. €
Vinícius, Brazil, Portugal, 20, LB, Cruzeiro B, SS Lazio, Summer, 2013, Free transfer
Diego Novaretti, Argentina, Italy, 28, CB, Toluca, SS Lazio, Summer, 2013, Free transfer
Salam Dene, Burkina Faso, Italy, 20, RW, Salernitana, SS Lazio, Summer, 2013, ?
Andrea Sbraga, Italy, None, 21, CB, AC Pisa, SS Lazio, Summer, 2013, ?
Libor Kozák, Czech Republic, None, 24, CF, SS Lazio, Aston Villa, Summer, 2013, 6.50 Mill. €
Javier Garrido, Spain, None, 28, LB, SS Lazio, Norwich, Summer, 2013, 1.50 Mill. €
Albano Bizzarri, Argentina, Italy, 35, GK, SS Lazio, Genoa, Summer, 2013, 300 Th. €
Pasquale Foggia, Italy, None, 30, AM, SS Lazio, Dubai CSC, Summer, 2013, Free transfer
Mauro Zárate, Argentina, Chile, 26, SS, SS Lazio, CA Vélez, Summer, 2013, Free transfer
Marius Stankevicius, Lithuania, None, 32, CB, SS Lazio, Gaziantepspor, Summer, 2013, Free transfer
Modibo Diakité, France, Mali, 26, CB, SS Lazio, Sunderland, Summer, 2013, Free transfer
Juan Pablo Carrizo, Argentina, None, 29, GK, SS Lazio, Inter, Summer, 2013, Free transfer
Vittorio Salustri, Italy, None, 20, CM, SS Lazio, Martina Franca, Summer, 2013, Free transfer
Matuzalém, Brazil, Italy, 33, DM, SS Lazio, Genoa, Summer, 2013, ?
Louis Saha, France, Guadeloupe, 35, CF, SS Lazio, None, Summer, 2013, -
Nicolás López, Uruguay, None, 19, CF, AS Roma, Udinese Calcio, Summer, 2013, 4.00 Mill. €
Bruno Fernandes, Portugal, None, 18, CM, Novara, Udinese Calcio, Summer, 2013, 2.50 Mill. €
Valerio Verre, Italy, None, 19, CM, AS Roma, Udinese Calcio, Summer, 2013, 2.50 Mill. €
Jádson, Brazil, None, 19, DM, Botafogo, Udinese Calcio, Summer, 2013, 2.50 Mill. €
Igor Bubnjic, Croatia, None, 20, CB, Slaven Belupo, Udinese Calcio, Summer, 2013, 1.50 Mill. €
Frano Mlinar, Croatia, None, 21, DM, Inter Zapresic, Udinese Calcio, Summer, 2013, 1.00 Mill. €
Alexandre Coeff, France, None, 21, DM, Lens, Udinese Calcio, Summer, 2013, 1.00 Mill. €
Orestis Karnezis, Greece, None, 28, GK, Panathinaikos, Udinese Calcio, Summer, 2013, 800 Th. €
Clifford Aboagye, Ghana, None, 18, AM, Inter Allies, Udinese Calcio, Summer, 2013, 610 Th. €
Ivan Kelava, Croatia, None, 25, GK, Dinamo Zagreb, Udinese Calcio, Summer, 2013, 600 Th. €
Naldo, Brazil, None, 24, CB, Granada CF, Udinese Calcio, Summer, 2013, 500 Th. €
Francesco Benussi, Italy, None, 31, GK, US Palermo, Udinese Calcio, Summer, 2013, Free transfer
Javi Acuña, Paraguay, Spain, 25, CF, Girona FC, Udinese Calcio, Summer, 2013, Free transfer
Silvan Widmer, Switzerland, None, 20, RB, Granada CF, Udinese Calcio, Summer, 2013, ?
Daniele Mori, Italy, None, 23, CB, FC Empoli, Udinese Calcio, Summer, 2013, ?
Andrea Mazzarani, Italy, None, 23, AM, SSC Napoli, Udinese Calcio, Summer, 2013, ?
Emanuele Rovini, Italy, None, 18, CF, Empoli U19, Udinese Calcio, Summer, 2013, ?
Juan Cuadrado, Colombia, None, 25, RW, Udinese Calcio, Fiorentina, Summer, 2013, 20.00 Mill. €
Medhi Benatia, Morocco, France, 26, CB, Udinese Calcio, AS Roma, Summer, 2013, 13.50 Mill. €
Antonio Candreva, Italy, None, 26, RW, Udinese Calcio, Lazio, Summer, 2013, 8.20 Mill. €
Pablo Armero, Colombia, None, 26, LB, Udinese Calcio, SSC Napoli, Summer, 2013, 4.00 Mill. €
Willians, Brazil, None, 27, DM, Udinese Calcio, Internacional, Summer, 2013, 2.00 Mill. €
Marco Cassetti, Italy, None, 36, CB, Udinese Calcio, Watford, Summer, 2013, Free transfer
Gabriele Angella, Italy, None, 24, CB, Udinese Calcio, Watford, Summer, 2013, Free transfer
Juan Surraco, Uruguay, Spain, 25, SS, Udinese Calcio, Modena FC, Summer, 2013, Free transfer
Daniele Padelli, Italy, None, 27, GK, Udinese Calcio, Torino, Summer, 2013, gratuito
Joel Ekstrand, Sweden, None, 24, CB, Udinese Calcio, Watford, Summer, 2013, ?
Simone Sbardella, Italy, None, 20, CB, Udinese Calcio, Matera, Summer, 2013, ?
Almen Abdi, Switzerland, Kosovo, 26, AM, Udinese Calcio, Watford, Summer, 2013, ?
Davide Faraoni, Italy, None, 21, RM, Udinese Calcio, Watford, Summer, 2013, ?
Clifford Aboagye, Ghana, None, 18, AM, Udinese Calcio, Granada CF B, Summer, 2013, ?
Javi Acuña, Paraguay, Spain, 25, CF, Udinese Calcio, Watford, Summer, 2013, ?
Cristian Battocchio, Italy, Argentina, 21, CM, Udinese Calcio, Watford, Summer, 2013, ?
Simone Amadio, Italy, None, 20, CM, Udinese Calcio, Sanvitese, Summer, 2013, ?
Alin Bucuroiu, Romania, None, 21, GK, Udinese Calcio, AC Siena, Summer, 2013, ?
Andrea Mazzarani, Italy, None, 23, AM, Udinese Calcio, Modena FC, Summer, 2013, ?
Diego Fabbrini, Italy, None, 22, SS, Udinese Calcio, Watford, Summer, 2013, ?
Ciro Immobile, Italy, None, 23, CF, Genoa, Torino FC, Summer, 2013, 2.75 Mill. €
Alexander Farnerud, Sweden, None, 29, CM, BSC Young Boys, Torino FC, Summer, 2013, 1.80 Mill. €
Nicola Bellomo, Italy, None, 22, AM, Bari, Torino FC, Summer, 2013, 1.80 Mill. €
Marcelo Larrondo, Chile, Argentina, 24, CF, AC Siena, Torino FC, Summer, 2013, 1.30 Mill. €
Cesare Bovo, Italy, None, 30, CB, Genoa, Torino FC, Summer, 2013, 800 Th. €
Emiliano Moretti, Italy, None, 32, CB, Genoa, Torino FC, Summer, 2013, 700 Th. €
Tommaso Berni, Italy, None, 30, GK, Sampdoria, Torino FC, Summer, 2013, gratuito
Daniele Padelli, Italy, None, 27, GK, Udinese Calcio, Torino FC, Summer, 2013, gratuito
Matteo Brighi, Italy, None, 32, CM, AS Roma, Torino FC, Summer, 2013, ?
Angelo Ogbonna, Italy, Nigeria, 25, CB, Torino FC, Juventus, Summer, 2013, 15.00 Mill. €
Marko Bakic, Montenegro, None, 19, CM, Torino FC, Fiorentina, Summer, 2013, 2.50 Mill. €
Alessandro Agostini, Italy, None, 33, LB, Torino FC, Hellas Verona, Summer, 2013, 300 Th. €
Rolando Bianchi, Italy, None, 30, CF, Torino FC, Bologna, Summer, 2013, Free transfer
Valerio Di Cesare, Italy, None, 30, CB, Torino FC, Brescia, Summer, 2013, ?
Ferdinando Coppola, Italy, None, 35, GK, Torino FC, AC Milan, Summer, 2013, -
Juan Cuadrado, Colombia, None, 25, RW, Udinese Calcio, ACF Fiorentina, Summer, 2013, 20.00 Mill. €
Mario Gómez, Germany, Spain, 28, CF, Bayern Munich , ACF Fiorentina, Summer, 2013, 15.50 Mill. €
Josip Ilicic, Slovenia, Croatia, 25, AM, US Palermo, ACF Fiorentina, Summer, 2013, 9.00 Mill. €
Ante Rebic, Croatia, None, 19, LW, RNK Split, ACF Fiorentina, Summer, 2013, 4.50 Mill. €
Marko Bakic, Montenegro, None, 19, CM, Torino, ACF Fiorentina, Summer, 2013, 2.50 Mill. €
Joaquín, Spain, None, 31, RW, Málaga CF, ACF Fiorentina, Summer, 2013, 1.80 Mill. €
Oleksandr Yakovenko, Ukraine, Belgium, 25, LW, RSC Anderlecht, ACF Fiorentina, Summer, 2013, Free transfer
Gustavo Munúa, Uruguay, Spain, 35, GK, Levante UD, ACF Fiorentina, Summer, 2013, Free transfer
Marcos Alonso, Spain, None, 22, LB, Bolton, ACF Fiorentina, Summer, 2013, Free transfer
Massimo Ambrosini, Italy, None, 36, CM, AC Milan, ACF Fiorentina, Summer, 2013, gratuito
Stevan Jovetic, Montenegro, Serbia, 23, CF, ACF Fiorentina, Man City, Summer, 2013, 26.00 Mill. €
Adem Ljajic, Serbia, None, 21, AM, ACF Fiorentina, AS Roma, Summer, 2013, 11.00 Mill. €
Haris Seferovic, Switzerland, Bosnia-Herzegovina, 21, CF, ACF Fiorentina, Real Sociedad, Summer, 2013, 3.00 Mill. €
Luca Toni, Italy, None, 36, CF, ACF Fiorentina, Hellas Verona, Summer, 2013, Free transfer
Felipe, Brazil, Italy, 28, CB, ACF Fiorentina, Parma, Summer, 2013, ?
Andrea Seculin, Italy, None, 23, GK, ACF Fiorentina, Chievo Verona, Summer, 2013, ?
Luca Bittante, Italy, None, 19, RB, ACF Fiorentina, AS Avellino, Summer, 2013, ?
Pietro Iemmello, Italy, None, 21, CF, ACF Fiorentina, Pro Vercelli, Summer, 2013, ?
Federico Carraro, Italy, None, 21, AM, ACF Fiorentina, Pavia, Summer, 2013, ?
Daniel Kofi Agyei, Ghana, None, 21, DM, ACF Fiorentina, Benevento, Summer, 2013, ?
Angelo Ogbonna, Italy, Nigeria, 25, CB, Torino, Juventus FC, Summer, 2013, 15.00 Mill. €
Carlos Tévez, Argentina, None, 29, SS, Man City, Juventus FC, Summer, 2013, 9.00 Mill. €
Federico Peluso, Italy, None, 29, LB, Atalanta, Juventus FC, Summer, 2013, 4.80 Mill. €
Domenico Berardi, Italy, None, 19, RW, Sassuolo, Juventus FC, Summer, 2013, 4.50 Mill. €
Simone Zaza, Italy, None, 22, CF, Sampdoria, Juventus FC, Summer, 2013, 3.50 Mill. €
Alberto Gallinetta, Italy, None, 21, GK, Parma, Juventus FC, Summer, 2013, 1.78 Mill. €
Marcel Büchel, Liechtenstein, Austria, 22, CM, AC Siena, Juventus FC, Summer, 2013, 1.50 Mill. €
Elio De Silvestro, Italy, None, 20, RW, Pro Vercelli, Juventus FC, Summer, 2013, 760 Th. €
Elvis Kabashi, Albania, Italy, 19, CM, Empoli U19, Juventus FC, Summer, 2013, 700 Th. €
Mbaye Diagne, Senegal, None, 21, CF, Bra, Juventus FC, Summer, 2013, 100 Th. €
Fernando Llorente, Spain, None, 28, CF, Athletic Bilbao, Juventus FC, Summer, 2013, Free transfer
Luca Castiglia, Italy, None, 24, CM, Vicenza, Juventus FC, Summer, 2013, ?
Nazzareno Belfasti, Italy, None, 19, LB, Modena FC, Juventus FC, Summer, 2013, ?
Manolo Gabbiadini, Italy, None, 21, CF, Juventus FC, Sampdoria, Summer, 2013, 11.50 Mill. €
Alessandro Matri, Italy, None, 29, CF, Juventus FC, AC Milan, Summer, 2013, 11.00 Mill. €
Simone Zaza, Italy, None, 22, CF, Juventus FC, Sassuolo, Summer, 2013, 10.00 Mill. €
Emanuele Giaccherini, Italy, None, 28, LW, Juventus FC, Sunderland, Summer, 2013, 7.50 Mill. €
Luca Marrone, Italy, None, 23, DM, Juventus FC, Sassuolo, Summer, 2013, 4.50 Mill. €
Felipe Melo, Brazil, Spain, 30, DM, Juventus FC, Galatasaray, Summer, 2013, 3.75 Mill. €
Alberto Masi, Italy, None, 20, CB, Juventus FC, Ternana, Summer, 2013, 2.00 Mill. €
Prince Gouano, France, Cote d'Ivoire, 19, CB, Juventus FC, Atalanta, Summer, 2013, 1.45 Mill. €
Carlos García, Sweden, Nicaragua, 20, CB, Juventus FC, Parma, Summer, 2013, 500 Th. €
Nicolas Anelka, France, Martinique, 34, CF, Juventus FC, West Brom, Summer, 2013, Free transfer
Raffaele Alcibiade, Italy, None, 23, CB, Juventus FC, Honvéd, Summer, 2013, Free transfer
Marco Costantino, Italy, None, 22, GK, Juventus FC, Modena FC, Summer, 2013, ?
Nazzareno Belfasti, Italy, None, 19, LB, Juventus FC, Pro Vercelli, Summer, 2013, ?
Leonardo Spinazzola, Italy, None, 20, LM, Juventus FC, AC Siena, Summer, 2013, ?
Raffaele Bianco, Italy, None, 25, CM, Juventus FC, None, Summer, 2013, -
Vincenzo Iaquinta, Italy, None, 33, CF, Juventus FC, None, Summer, 2013, -
Manuel Giandonato, Italy, None, 21, CM, Juventus FC, None, Summer, 2013, -
Luca Cigarini, Italy, None, 27, DM, SSC Napoli, Atalanta BC, Summer, 2013, 4.20 Mill. €
Constantin Nica, Romania, None, 20, RB, Dinamo Bukarest, Atalanta BC, Summer, 2013, 1.60 Mill. €
Prince Gouano, France, Cote d'Ivoire, 19, CB, Juventus, Atalanta BC, Summer, 2013, 1.45 Mill. €
Daniele Baselli, Italy, None, 21, CM, Cittadella, Atalanta BC, Summer, 2013, 800 Th. €
Luigi Giorgi, Italy, None, 26, CM, Novara, Atalanta BC, Summer, 2013, 800 Th. €
Giulio Migliaccio, Italy, None, 32, CM, US Palermo, Atalanta BC, Summer, 2013, 300 Th. €
Leonardo Gatto, Italy, None, 21, LW, AC Pisa, Atalanta BC, Summer, 2013, 200 Th. €
Mario Yepes, Colombia, France, 37, CB, AC Milan, Atalanta BC, Summer, 2013, Free transfer
Elia Cortesi, Italy, None, 21, RW, Carpi, Atalanta BC, Summer, 2013, ?
Giuseppe De Luca, Italy, None, 21, CF, Varese, Atalanta BC, Summer, 2013, ?
Federico Peluso, Italy, None, 29, LB, Atalanta BC, Juventus, Summer, 2013, 4.80 Mill. €
Ivan Radovanovic, Serbia, None, 24, DM, Atalanta BC, Chievo Verona, Summer, 2013, 800 Th. €
Matteo Gentili, Italy, None, 24, CB, Atalanta BC, Reggina, Summer, 2013, 100 Th. €
Riccardo Tantardini, Italy, None, 20, RB, Atalanta BC, Feralpisalò, Summer, 2013, ?
Carlos Matheu, Argentina, Italy, 28, CB, Atalanta BC, AC Siena, Summer, 2013, ?
Marcello Possenti, Italy, None, 21, LB, Atalanta BC, Reggiana, Summer, 2013, ?
Elia Cortesi, Italy, None, 21, RW, Atalanta BC, Bassano, Summer, 2013, ?
Luca Barbugian, Italy, None, 19, GK, Atalanta BC, None, Summer, 2013, ?
Michele Ferri, Italy, None, 32, CB, Atalanta BC, None, Summer, 2013, -
Dejan Lazarevic, Slovenia, None, 23, LW, Genoa, Chievo Verona, Summer, 2013, 1.50 Mill. €
Ivan Radovanovic, Serbia, None, 24, DM, Atalanta, Chievo Verona, Summer, 2013, 800 Th. €
Yohan Tavares, Portugal, France, 25, CB, Standard Liège, Chievo Verona, Summer, 2013, 500 Th. €
Tomasz Kupisz, Poland, None, 23, RW, J. Bialystok, Chievo Verona, Summer, 2013, 500 Th. €
Claiton, Brazil, Italy, 28, CB, Bari, Chievo Verona, Summer, 2013, 100 Th. €
Alessio Sestu, Italy, None, 29, CM, AC Siena, Chievo Verona, Summer, 2013, Free transfer
Domenico Franco, Italy, None, 20, CM, Paganese, Chievo Verona, Summer, 2013, ?
Nicolò Brighenti, Italy, None, 23, CB, Vicenza, Chievo Verona, Summer, 2013, ?
Adrián Calello, Argentina, Italy, 26, DM, AC Siena, Chievo Verona, Summer, 2013, ?
Simone Aldrovandi, Italy, None, 19, CB, Modena FC, Chievo Verona, Summer, 2013, ?
Marco Pavanello, Italy, None, 21, GK, Alessandria, Chievo Verona, Summer, 2013, ?
Marcello Falzerano, Italy, None, 22, AM, Grosseto, Chievo Verona, Summer, 2013, ?
Luca Martinelli, Italy, None, 24, CB, Juve Stabia, Chievo Verona, Summer, 2013, ?
Jacopo Coletta, Italy, None, 21, GK, Lumezzane, Chievo Verona, Summer, 2013, ?
Filippo Fondi, Italy, None, 23, DM, AC Pisa, Chievo Verona, Summer, 2013, ?
Andrea Seculin, Italy, None, 23, GK, Fiorentina, Chievo Verona, Summer, 2013, ?
Isaac Cofie, Ghana, None, 21, CM, Chievo Verona, Genoa, Summer, 2013, 3.00 Mill. €
Stefano Sorrentino, Italy, None, 34, GK, Chievo Verona, US Palermo, Summer, 2013, 2.00 Mill. €
Nestor Djengoue, Cameroon, None, 22, CB, Chievo Verona, FSV Frankfurt, Summer, 2013, 100 Th. €
Antimo Iunco, Italy, None, 29, SS, Chievo Verona, Trapani, Summer, 2013, 100 Th. €
Marco Andreolli, Italy, None, 27, CB, Chievo Verona, Inter, Summer, 2013, Free transfer
Bojan Jokic, Slovenia, None, 27, LB, Chievo Verona, Villarreal CF, Summer, 2013, Free transfer
Nikolaos Spyropoulos, Greece, None, 29, LB, Chievo Verona, PAOK Saloniki, Summer, 2013, Free transfer
Yohan Tavares, Portugal, France, 25, CB, Chievo Verona, Estoril, Summer, 2013, Free transfer
Michel Cruciani, Italy, Canada, 27, CM, Chievo Verona, Casertana, Summer, 2013, ?
Valerio Anastasi, Italy, None, 23, CF, Chievo Verona, Reggiana, Summer, 2013, ?
Santiago Morero, Argentina, Italy, 31, CB, Chievo Verona, AC Siena, Summer, 2013, ?
Francesco Bonato, Italy, None, 20, GK, Chievo Verona, Castiglione, Summer, 2013, ?
Jakub Vojtus, Slovakia, None, 19, CF, Chievo Verona, Olhanense, Summer, 2013, ?
Davide Tonani, Italy, None, 21, CF, Chievo Verona, Borgomanero, Summer, 2013, ?
Salvatore Gallo, Italy, None, 21, CM, Chievo Verona, Unione Venezia, Summer, 2013, ?
Ivan Fatic, Montenegro, Serbia, 24, CB, Chievo Verona, Vojvodina, Summer, 2013, ?
Alan Hernández, Panama, None, 21, RW, Chievo Verona, Chorrillo FC, Summer, 2013, ?
Massimo Zamparo, Italy, None, 21, CB, Chievo Verona, Paganese, Summer, 2013, ?
Riccardo Chiarello, Italy, None, 19, RM, Chievo Verona, Valdagno, Summer, 2013, ?
Matteo Oliboni, Italy, None, 20, LB, Chievo Verona, None, Summer, 2013, -
Luciano, Brazil, Italy, 37, RM, Chievo Verona, Mantova FC, Summer, 2013, -
Marcello Falzerano, Italy, None, 22, AM, Chievo Verona, None, Summer, 2013, -
Damjan Djokovic, Netherlands, None, 23, CM, AC Cesena, Bologna FC 1909, Summer, 2013, 1.40 Mill. €
Andrea Romanò, Italy, None, 19, CM, Inter, Bologna FC 1909, Summer, 2013, 1.25 Mill. €
Andrea Bandini, Italy, None, 19, RB, Inter U19, Bologna FC 1909, Summer, 2013, 1.25 Mill. €
Abdallah Yaisien, France, Egypt, 19, AM, Paris SG B, Bologna FC 1909, Summer, 2013, Free transfer
Rolando Bianchi, Italy, None, 30, CF, Torino, Bologna FC 1909, Summer, 2013, Free transfer
Marek Cech, Slovakia, None, 30, LB, Trabzonspor, Bologna FC 1909, Summer, 2013, Free transfer
Francesco Della Rocca, Italy, None, 25, CM, US Palermo, Bologna FC 1909, Summer, 2013, ?
Daniele Grandi, Italy, None, 20, CF, Como, Bologna FC 1909, Summer, 2013, ?
Angelo Gregorio, Italy, None, 22, CB, Pontedera, Bologna FC 1909, Summer, 2013, ?
Riccardo Casini, Italy, None, 21, CM, Parma, Bologna FC 1909, Summer, 2013, ?
Thomas Job, Cameroon, None, 29, RW, None, Bologna FC 1909, Summer, 2013, -
Saphir Taider, Algeria, France, 21, CM, Bologna FC 1909, Inter, Summer, 2013, 7.50 Mill. €
Gaby Mudingayi, Belgium, Congo DR, 31, DM, Bologna FC 1909, Inter, Summer, 2013, 750 Th. €
Andrea Ingegneri, Italy, None, 21, CB, Bologna FC 1909, AC Cesena, Summer, 2013, 200 Th. €
Nicola Capellini, Italy, None, 22, AM, Bologna FC 1909, AC Cesena, Summer, 2013, Free transfer
Thomas Job, Cameroon, None, 29, RW, Bologna FC 1909, Honvéd, Summer, 2013, Free transfer
Francesco Finocchio, Italy, Brazil, 21, RW, Bologna FC 1909, Parma, Summer, 2013, ?
Juan Cruz, Spain, None, 20, LB, Bologna FC 1909, San Marino, Summer, 2013, ?
Giuseppe Nazzani, Italy, None, 23, DM, Bologna FC 1909, None, Summer, 2013, -
Manolo Gabbiadini, Italy, None, 21, CF, Juventus, UC Sampdoria, Summer, 2013, 11.50 Mill. €
Bartosz Salamon, Poland, None, 22, CB, AC Milan, UC Sampdoria, Summer, 2013, 3.40 Mill. €
Birkir Bjarnason, Iceland, None, 25, LM, Pescara, UC Sampdoria, Summer, 2013, 1.00 Mill. €
Mirko Eramo, Italy, None, 23, CM, Crotone, UC Sampdoria, Summer, 2013, 500 Th. €
Pawel Wszolek, Poland, None, 21, RW, Pol. Warsaw, UC Sampdoria, Summer, 2013, Free transfer
Michele Fornasier, Italy, None, 19, CB, Man Utd U23, UC Sampdoria, Summer, 2013, Free transfer
Vasco Regini, Italy, None, 22, CB, FC Empoli, UC Sampdoria, Summer, 2013, ?
Alessandro De Vitis, Italy, None, 21, CM, Parma, UC Sampdoria, Summer, 2013, ?
Mauro Icardi, Argentina, Italy, 20, CF, UC Sampdoria, Inter, Summer, 2013, 13.00 Mill. €
Andrea Poli, Italy, None, 23, CM, UC Sampdoria, AC Milan, Summer, 2013, 9.70 Mill. €
Simone Zaza, Italy, None, 22, CF, UC Sampdoria, Juventus, Summer, 2013, 3.50 Mill. €
Jonathan Rossini, Switzerland, Italy, 24, CB, UC Sampdoria, Sassuolo, Summer, 2013, 1.30 Mill. €
Gianni Munari, Italy, None, 30, CM, UC Sampdoria, Parma, Summer, 2013, 1.00 Mill. €
Fabrizio Cacciatore, Italy, None, 26, RB, UC Sampdoria, Hellas Verona, Summer, 2013, 500 Th. €
Simone Patacchiola, Italy, None, 22, CB, UC Sampdoria, Castiglione, Summer, 2013, Free transfer
Matteo Lanzoni, Italy, None, 25, CB, UC Sampdoria, Oldham Athletic, Summer, 2013, Free transfer
Andrea Grieco, Italy, None, 21, RB, UC Sampdoria, Miami United, Summer, 2013, Free transfer
Fernando Tissone, Argentina, Italy, 26, DM, UC Sampdoria, Málaga CF, Summer, 2013, Free transfer
Tommaso Berni, Italy, None, 30, GK, UC Sampdoria, Torino, Summer, 2013, gratuito
